KN,US,US,O,O,UN,UN,N,UN,O,O,O,O,XN,XN,US,US,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,US,UN,S,N,N,XN,N,N,O,XN,XN,XN,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,B,AS,UB,UN,B,B,N,US,B,US,UN,UN,UN,US,UN,UN,UN,US,UN,UN,UN,S,N,UAN,UAN,US,UB,XS,XS,O,UB,UB,B,O,UN,US,N,O
Item_ID,Name,Category,Loot Value,Dota Price,Buy Price,Sell Price,Quality,GS,C1,C2,C3,C4,Frag ID,Frag Count,Description,Comment,STR,INT,AGI,HP,MP,AD,AP,ARM,MR,CRIT,MCRIT,HPS,MPS,HIT,DODG,ARMP,MRI,LFS,CDR,HEAL,SKL,SILR,TEN,INTR,KMPR,Icon,length,Consume Type,Exp,Vitality,Enhance Exp,Display Level,Level Requirement,Min Rank Requirement,Drop 1,Drop 2,Drop 3,Enhance Value,+GS,+STR,+INT,+AGI,+HP,+MP,+AD,+AP,+ARM,+MR,+CRIT,+MCRIT,+HPS,+MPS,+HIT,+DODG,+ARMP,+MRI,+LFS,+CDR,+HEAL,+SKL,+SILR,+TEN,+INTR,+KMPR,Hide,How To Get,Invisible,Max Amount,Max Amount Invisible,Is Awake,Fashion ID,Sell Price Type,School check,Contain Type1,Contain Item ID1,Contain Item Amount1,Weight1,Contain Type2,Contain Item ID2,Contain Item Amount2,Weight2,Contain Type3,Contain Item ID3,Contain Item Amount3,Weight3,Use Type,Use Type Variable,Drop,Special Loot Drop,Disappear Time,Disappear,Category En,Consume Type En,Bond Hero,Can Batch Use,Is Book Fragment,Is Rareness Soulstone,Order assist,Order,Icon2,Pet Exp,Tarot Hero
101,树枝,零件,0.5,53,53,26,1,2.7,,,,,0,0,,带上它以确保一局GG,1,1,1,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/101.png,2,,,,,2,2,1,1,4,7,1,2.7,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,1;4;7;11;10001;10002;10003;10004,,,,Material,,,NO,NO,,零件,1901500101,,,
102,哈哈哈,零件,1,150,150,75,1,2.7,,,,,0,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/104.png,4,,,,,2,2,1,1,42,107,2,2.7,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,1;42;107;234;10001;10014;10038;10084,,,,Material,,,NO,NO,,零件,1901500102,,,
103,敏捷丝袜,零件,1,150,150,75,1,2.7,,,,,0,0,,蜘蛛侠Cosplay套装组件,,,3,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/105.png,4,,,,,2,2,1,27,82,165,2,2.7,0,0,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,27;82;165;231;240;10029;10059;10083;10086,,,,Material,,,NO,NO,,零件,1901500103,,,
104,智力之篷,零件,1,150,150,75,1,2.7,,,,,0,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/106.png,4,,,,,2,2,1,18,36,134,2,2.7,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,18;36;134;229;10006;10012;10048;10082,,,,Material,,,NO,NO,,零件,1901500104,,,
105,防御指环,零件,1,175,175,87,1,4,,,,,0,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/119.png,4,,,,,2,2,1,23,53,176,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,23;53;176;181;10008;10018;10063;10065,,,,Material,,,NO,NO,,零件,1901500105,,,
106,贵族头环,零件,1,185,185,92,1,5.4,,,,,0,0,,明明是屌丝头环啊亲！,2,2,2,,,,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/102.png,4,,,,,2,2,1,15,20,27,2,2.7,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,15;20;27;79;10005;10007;10009;10028,,,,Material,,,NO,NO,,零件,1901500106,,,
107,小魔棒,零件,1,200,200,100,1,3.15,,,,,0,0,,我能反杀……,,,,,,,,,,,,15,15,,,,,,,,,,,,,UI/DOTA-ITEM/507.png,3,,,,,2,2,1,4,95,114,2,3.15,0,0,0,0,0,0,0,0,0,0,0,15,15,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,4;95;114;179;10002;10034;10041;10064,,,,Material,,,NO,NO,,零件,1901500107,,,
108,补刀斧,零件,1,225,225,112,1,3.6,,,,,0,0,,,,,,,,6,,,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/518.png,3,,,,,1,1,1,15,45,203,2,2.4,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,15;45;203;10005;10015;10072,,,,Material,,,NO,NO,,零件,1901500108,,,
109,小圆盾,零件,1,250,250,125,1,4,,,,,0,0,,曾经是某人的马桶盖子,,,,,,,,2,,,,,,,,,,,,,,,,,,UI/DOTA-ITEM/120.png,3,,,,,2,2,1,11,94,167,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,,,999,,,,Gold,,,,,,,,,,,,,,,,11;94;167;257;10004;10033;10060;10093,,,,Material,,,NO,NO,,零件,1901500109,,,
